person_relationship_id,person_relationship_sequence,person_id_1,relationship_type,person_id_2,relationship_category,reference_id,relationship_notes
Jokshan_1:Keturah_1:363,363,Jokshan_1,son,Keturah_1,logical,GEN 25:2,
Abram_1:Medan_1:364,364,Abram_1,father,Medan_1,explicit,GEN 25:2,
Medan_1:Abram_1:365,365,Medan_1,son,Abram_1,logical,GEN 25:2,
Keturah_1:Medan_1:366,366,Keturah_1,mother,Medan_1,explicit,GEN 25:2,
Medan_1:Keturah_1:367,367,Medan_1,son,Keturah_1,logical,GEN 25:2,
Abram_1:Midian_1:368,368,Abram_1,father,Midian_1,explicit,GEN 25:2,
Midian_1:Abram_1:369,369,Midian_1,son,Abram_1,logical,GEN 25:2,
Keturah_1:Midian_1:370,370,Keturah_1,mother,Midian_1,explicit,GEN 25:2,
Midian_1:Keturah_1:371,371,Midian_1,son,Keturah_1,logical,GEN 25:2,
Abram_1:Ishbak_1:372,372,Abram_1,father,Ishbak_1,explicit,GEN 25:2,
Ishbak_1:Abram_1:373,373,Ishbak_1,son,Abram_1,logical,GEN 25:2,
Keturah_1:Ishbak_1:374,374,Keturah_1,mother,Ishbak_1,explicit,GEN 25:2,
Ishbak_1:Keturah_1:375,375,Ishbak_1,son,Keturah_1,logical,GEN 25:2,
Abram_1:Shuah_1:376,376,Abram_1,father,Shuah_1,explicit,GEN 25:2,
Shuah_1:Abram_1:377,377,Shuah_1,son,Abram_1,logical,GEN 25:2,
Keturah_1:Shuah_1:378,378,Keturah_1,mother,Shuah_1,explicit,GEN 25:2,
Shuah_1:Keturah_1:379,379,Shuah_1,son,Keturah_1,logical,GEN 25:2,
Jokshan_1:Sheba_3:380,380,Jokshan_1,father,Sheba_3,explicit,GEN 25:2,
Sheba_3:Jokshan_1:381,381,Sheba_3,son,Jokshan_1,logical,GEN 25:2,
Jokshan_1:Dedan_2:382,382,Jokshan_1,father,Dedan_2,explicit,GEN 25:3,
Dedan_2:Jokshan_1:383,383,Dedan_2,son,Jokshan_1,logical,GEN 25:3,
Dedan_2:Asshur_2:384,384,Dedan_2,father,Asshur_2,logical,GEN 25:3,
Asshur_2:Dedan_2:385,385,Asshur_2,son,Dedan_2,explicit,GEN 25:3,
Dedan_2:Letush_1:386,386,Dedan_2,father,Letush_1,logical,GEN 25:3,
Letush_1:Dedan_2:387,387,Letush_1,son,Dedan_2,explicit,GEN 25:3,
Dedan_2:Leum_1:388,388,Dedan_2,father,Leum_1,logical,GEN 25:3,
Leum_1:Dedan_2:389,389,Leum_1,son,Dedan_2,explicit,GEN 25:3,
Midian_1:Ephah_1:390,390,Midian_1,father,Ephah_1,logical,GEN 25:4,
Ephah_1:Midian_1:391,391,Ephah_1,son,Midian_1,explicit,GEN 25:4,
Midian_1:Epher_1:392,392,Midian_1,father,Epher_1,logical,GEN 25:4,
Epher_1:Midian_1:393,393,Epher_1,son,Midian_1,explicit,GEN 25:4,
Midian_1:Hanoch_1:394,394,Midian_1,father,Hanoch_1,logical,GEN 25:4,
Hanoch_1:Midian_1:395,395,Hanoch_1,son,Midian_1,explicit,GEN 25:4,
Midian_1:Abida_1:396,396,Midian_1,father,Abida_1,logical,GEN 25:4,
Abida_1:Midian_1:397,397,Abida_1,son,Midian_1,explicit,GEN 25:4,
Midian_1:Eldaah_1:398,398,Midian_1,father,Eldaah_1,logical,GEN 25:4,
Eldaah_1:Midian_1:399,399,Eldaah_1,son,Midian_1,explicit,GEN 25:4,
Ishmael_1:Nebaioth_1:400,400,Ishmael_1,father,Nebaioth_1,logical,GEN 25:13,
Nebaioth_1:Ishmael_1:401,401,Nebaioth_1,son,Ishmael_1,explicit,GEN 25:13,
Ishmael_1:Kedar_1:402,402,Ishmael_1,father,Kedar_1,logical,GEN 25:13,
Kedar_1:Ishmael_1:403,403,Kedar_1,son,Ishmael_1,explicit,GEN 25:13,
Ishmael_1:Adbeel_1:404,404,Ishmael_1,father,Adbeel_1,logical,GEN 25:13,
Adbeel_1:Ishmael_1:405,405,Adbeel_1,son,Ishmael_1,explicit,GEN 25:13,
Ishmael_1:Mibsam_1:406,406,Ishmael_1,father,Mibsam_1,logical,GEN 25:13,
Mibsam_1:Ishmael_1:407,407,Mibsam_1,son,Ishmael_1,explicit,GEN 25:13,
Ishmael_1:Mishma_1:408,408,Ishmael_1,father,Mishma_1,logical,GEN 25:14,
Mishma_1:Ishmael_1:409,409,Mishma_1,son,Ishmael_1,explicit,GEN 25:14,
Ishmael_1:Dumah_1:410,410,Ishmael_1,father,Dumah_1,logical,GEN 25:14,
Dumah_1:Ishmael_1:411,411,Dumah_1,son,Ishmael_1,explicit,GEN 25:14,
Ishmael_1:Massa_1:412,412,Ishmael_1,father,Massa_1,logical,GEN 25:14,
Massa_1:Ishmael_1:413,413,Massa_1,son,Ishmael_1,explicit,GEN 25:14,
Ishmael_1:Hadad_1:414,414,Ishmael_1,father,Hadad_1,logical,GEN 25:15,
Hadad_1:Ishmael_1:415,415,Hadad_1,son,Ishmael_1,explicit,GEN 25:15,
Ishmael_1:Tema_1:416,416,Ishmael_1,father,Tema_1,logical,GEN 25:15,
Tema_1:Ishmael_1:417,417,Tema_1,son,Ishmael_1,explicit,GEN 25:15,
Ishmael_1:Jetur_1:418,418,Ishmael_1,father,Jetur_1,logical,GEN 25:15,
Jetur_1:Ishmael_1:419,419,Jetur_1,son,Ishmael_1,explicit,GEN 25:15,
Ishmael_1:Naphish_1:420,420,Ishmael_1,father,Naphish_1,logical,GEN 25:15,
Naphish_1:Ishmael_1:421,421,Naphish_1,son,Ishmael_1,explicit,GEN 25:15,
Ishmael_1:Kedemah_1:422,422,Ishmael_1,father,Kedemah_1,logical,GEN 25:15,
Kedemah_1:Ishmael_1:423,423,Kedemah_1,son,Ishmael_1,explicit,GEN 25:15,
Isaac_1:Esau_1:424,424,Isaac_1,father,Esau_1,logical,GEN 25:25,
Esau_1:Isaac_1:425,425,Esau_1,son,Isaac_1,logical,GEN 25:25,
Isaac_1:Jacob_1:426,426,Isaac_1,father,Jacob_1,logical,GEN 25:26,
Jacob_1:Isaac_1:427,427,Jacob_1,son,Isaac_1,logical,GEN 25:26,
Rebekah_1:Esau_1:428,428,Rebekah_1,mother,Esau_1,explicit,GEN 25:25,
Esau_1:Rebekah_1:429,429,Esau_1,son,Rebekah_1,logical,GEN 25:25,
Rebekah_1:Jacob_1:430,430,Rebekah_1,mother,Jacob_1,explicit,GEN 25:26,
Jacob_1:Rebekah_1:431,431,Jacob_1,son,Rebekah_1,logical,GEN 25:26,
Esau_1:Judith_1:432,432,Esau_1,husband,Judith_1,logical,GEN 26:34,
Judith_1:Esau_1:433,433,Judith_1,wife,Esau_1,logical,GEN 26:34,
Beeri_1:Judith_1:434,434,Beeri_1,father,Judith_1,logical,GEN 26:34,
Judith_1:Beeri_1:435,435,Judith_1,daughter,Beeri_1,explicit,GEN 26:34,
Esau_1:Basemath_1:436,436,Esau_1,husband,Basemath_1,logical,GEN 26:34,
Basemath_1:Esau_1:437,437,Basemath_1,wife,Esau_1,logical,GEN 26:34,
